{'question_str': 'ケネディ殺害の容疑者は _______ に謎を残したままマフィアに撃たれて死亡した。', 'question_choices': "{'1': '動機', '2': '本音', '3': '動力', '4': '下心'}", 'question_answer': '1', 'question_level': 'n1', 'question_explanation': '', 'question_type': 'vocabulary', 'question_topics': ''}
{'question_str': 'いつ見つけても _______ の早いがんでは予後が悪く、遅いがんは予後がいい。早くても遅くても意味はないのです。', 'question_choices': "{'1': '先進', '2': '増進', '3': '進出', '4': '進行'}", 'question_answer': '4', 'question_level': 'n1', 'question_explanation': '', 'question_type': 'vocabulary', 'question_topics': ''}
{'question_str': 'インターネット広告 _______ と広告の効果の関係について考えてみよう。', 'question_choices': "{'1': '値', '2': '費', '3': '料', '4': '額'}", 'question_answer': '2', 'question_level': 'n1', 'question_explanation': '', 'question_type': 'vocabulary', 'question_topics': ''}
{'question_str': 'この数年間で千葉や隣接県では女児連れ去り事件が多発していた。まだ _______ 解決の案件もあるが、未遂に終わり、容疑者が逮捕されたケースもある。', 'question_choices': "{'1': '非', '2': '双', '3': '未', '4': '無'}", 'question_answer': '3', 'question_level': 'n1', 'question_explanation': '', 'question_type': 'vocabulary', 'question_topics': ''}
{'question_str': '辞書を引いたら、最初に _______ されている語義だけでなく、すべての語義をざっと確認する習慣を付けましょう。', 'question_choices': "{'1': '記載', '2': '援用', '3': '参照', '4': '出典'}", 'question_answer': '1', 'question_level': 'n1', 'question_explanation': '', 'question_type': 'vocabulary', 'question_topics': ''}
{'question_str': '専門学校で、デザインという仕事の難しさに _______ することになりました。', 'question_choices': "{'1': '対決', '2': '直面', '3': '抵抗', '4': '挑戦'}", 'question_answer': '2', 'question_level': 'n1', 'question_explanation': '', 'question_type': 'vocabulary', 'question_topics': ''}
{'question_str': 'この機械を _______ にはかなりの技術が必要だ。', 'question_choices': "{'1': '使いこなす', '2': '使いおわる', '3': '使いはたす', '4': '使いすてる'}", 'question_answer': '1', 'question_level': 'n1', 'question_explanation': '', 'question_type': 'vocabulary', 'question_topics': ''}
{'question_str': '最近の青少年はしっかりしているようだが、精神的に _______ 面がある。', 'question_choices': "{'1': 'しぶい', '2': 'だるい', '3': 'ゆるい', '4': 'もろい'}", 'question_answer': '4', 'question_level': 'n1', 'question_explanation': '', 'question_type': 'vocabulary', 'question_topics': ''}
{'question_str': '何回会議をやっても結論が出ないので、_______ いやになった。', 'question_choices': "{'1': 'つくづく', '2': 'わざわざ', '3': 'ぞくぞくと', '4': 'くれぐれも'}", 'question_answer': '1', 'question_level': 'n1', 'question_explanation': '', 'question_type': 'vocabulary', 'question_topics': ''}
{'question_str': '不況の影響で、この地域の中小企業は _______ 倒産した。', 'question_choices': "{'1': 'いまさら', '2': 'ひたすら', '3': 'のきなみ', '4': 'ひいては'}", 'question_answer': '3', 'question_level': 'n1', 'question_explanation': '', 'question_type': 'vocabulary', 'question_topics': ''}
